epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.47057,2.65212,2.23054,1.13504,0.51306,0.25,0.01217,0.00612,2.48221,42.0515,1.29573,0.00018,0.00018,0.08218
2,18.1503,2.42455,1.55876,1.07102,0.472,0.375,0.3725,0.21075,1.86822,2.24372,1.10041,0.000351685,0.000351685,0.0633517
3,25.6085,2.42179,1.54376,1.04024,0.45119,0.25,0.2725,0.17575,1.88415,3.47279,1.30973,0.00050456,0.00050456,0.0445046
4,32.9458,2.53769,1.62726,1.11724,0.49474,0.5,0.4975,0.2045,1.53248,1.98389,1.04309,0.000638625,0.000638625,0.0256386
5,40.1558,2.45711,1.59731,1.04603,0.34358,0.375,0.34125,0.12988,1.30421,2.63158,1.05225,0.00075388,0.00075388,0.00675388
6,48.3373,2.40521,1.57286,1.05493,1,0.36029,0.40375,0.11862,1.23963,4.04718,1.13665,0.0007525,0.0007525,0.0007525
7,55.9468,2.48575,1.52065,1.03877,0.18311,0.25,0.185,0.043,1.36195,2.7522,1.21463,0.000703,0.000703,0.000703
8,62.7925,2.37143,1.55523,1.17929,0.21429,0.375,0.2275,0.17767,1.17445,1.96527,1.15596,0.0006535,0.0006535,0.0006535
9,70.7717,2.40149,1.49224,1.0588,0.5,0.375,0.3725,0.13812,1.17215,1.47432,1.12083,0.000604,0.000604,0.000604
10,77.74,2.37695,1.40392,1.04189,0.5,0.375,0.3725,0.1485,1.22277,1.90144,1.10487,0.0005545,0.0005545,0.0005545
11,87.1677,2.22674,1.44543,1.0823,0.5,0.375,0.3725,0.13812,1.3299,1.41456,1.1526,0.000505,0.000505,0.000505
12,93.8588,2.06488,1.39086,1.06397,0.5,0.375,0.3725,0.13812,1.27691,1.22333,1.1456,0.0004555,0.0004555,0.0004555
13,101.033,2.18217,1.3764,1.08042,0.5,0.375,0.3725,0.13812,1.32317,1.41549,1.19873,0.000406,0.000406,0.000406
14,108.231,2.1506,1.28379,1.01302,0.33333,0.25,0.165,0.11738,1.38526,1.35701,1.12056,0.0003565,0.0003565,0.0003565
15,115.132,2.20419,1.31231,1.03827,0.375,0.375,0.27938,0.20781,1.29454,1.20993,1.09619,0.000307,0.000307,0.000307
16,122.561,2.09993,1.24047,1.02494,0.375,0.375,0.27938,0.21406,1.25251,1.0826,1.13772,0.0002575,0.0002575,0.0002575
17,130.042,2.19119,1.20642,1.01332,0.5,0.5,0.4975,0.24213,1.41977,1.04806,1.25306,0.000208,0.000208,0.000208
18,138.359,2.04608,1.19392,1.01308,0.5,0.5,0.4975,0.24213,1.44548,0.97306,1.28818,0.0001585,0.0001585,0.0001585
19,145.727,2.12111,1.17976,1.01631,0.5,0.5,0.4975,0.24213,1.33534,1.0128,1.23465,0.000109,0.000109,0.000109
20,153.494,2.05551,1.16795,1.00174,0.5,0.5,0.4975,0.24213,1.31659,0.98737,1.1928,5.95e-05,5.95e-05,5.95e-05
